1;918.59749
2;934.57685
3;892.86891
4;956.45323
5;1023.84533
6;949.74353
7;982.73087
8;895.20817
9;905.76763
10;900.61314
11;973.01345
12;1315.35539
13;1063.85141
14;869.46856
15;936.65407
16;906.84573
17;799.83628
18;849.6684
19;878.58923
20;801.20519
21;832.67563
22;875.1528
23;900.356
24;984.09623
25;877.63503
26;838.27299
27;837.56352
28;860.28687
29;849.36805
30;856.35803
31;790.61775
32;787.34121
33;785.19138
34;876.98159
35;863.0077
36;817.12145
37;777.26837
38;752.74885
39;762.68639
40;774.146499
41;752.6231
42;767.75599
43;775.3373
44;797.12519
45;740.20981
46;692.98861
47;791.17258
48;910.56633
49;770.043
50;812.30498
51;793.95425
52;741.34151
53;732.67784
54;775.82503
55;837.21249
56;680.68242
57;622.68401
58;679.12584
59;743.26421
60;667.63335
61;667.27086
62;875.62115
63;632.71789
64;669.38382
65;775.51782
66;727.21091
67;658.53987
68;670.47632
69;767.92457
70;751.43395
71;712.17403
72;699.16845
73;718.81321
74;647.68358
75;651.32308
76;688.63801
77;740.06632
78;687.88276
79;640.74341
80;644.82879
81;671.31481
82;649.88733
83;606.61082
84;665.98098
85;595.98507
86;603.57282
87;730.46609
88;738.33776
89;699.95389
90;926.52892
91;778.45604
92;736.46727
93;749.22519
94;667.38506
95;661.48541
96;739.39917
97;742.60214
98;634.09617
99;656.53709
100;650.28221
101;673.24231
102;653.0497
103;634.76291
104;681.94351
105;778.54096
106;770.72532
107;751.05743
108;734.73011
109;791.23919
110;722.1735
111;684.68815
112;781.67471
113;690.54683
114;698.68299
115;694.71084
116;759.36824
117;799.52303
118;843.33755
119;765.04863
120;811.56835
121;778.21527
122;812.62981
123;1108.82245
124;1041.51811
125;785.34873
126;792.81845
127;792.4404
128;778.6945
129;724.91073
130;751.46235
131;850.14081
132;802.25593
133;789.07112
134;769.06818
135;762.88575
136;823.20157
137;845.37798
138;908.19556
139;913.08076
140;798.61837
141;835.98389
142;899.71366
143;829.57627
144;794.36219
145;870.43601
146;899.92103
147;819.53628
148;823.08389
149;841.98675
150;862.40831
151;861.69041
152;884.00254
153;891.27187
154;970.84328
155;985.47597
156;895.5191
157;950.20884
158;990.87419
159;924.14227
160;1020.03752
161;1053.36706
162;937.55414
163;1027.64115
164;1010.01516
165;964.51711
166;926.6388
167;897.53865
168;921.54642
169;877.88732
170;900.54885
171;988.94669
172;1001.52612
173;1030.61543
174;993.5328
175;949.05596
176;1052.21899
177;1105.83927
178;1053.90704
179;1037.6205
180;945.58726
181;922.34348
182;978.07321
183;1024.91027
184;948.13473
185;1004.92167
186;980.03087
187;998.25929
188;1025.51275
189;929.994
190;898.2861
191;889.75103
192;981.04134
193;1017.03424
194;920.48593
195;887.81952
196;912.3446
197;865.78353
198;853.02537
199;911.06548
200;1013.43249
201;986.16129
202;910.93781
203;892.27975
204;942.29939
205;950.33132
206;937.13402
207;976.72148
208;927.04134
209;878.14415
210;810.04218
211;803.99379
212;820.1561
213;839.15032
214;837.96531
215;923.16064
216;1006.57201
217;859.78432
218;1195.0919
219;956.0344
220;828.48752
221;936.16387
222;1073.19271
223;934.4348
224;819.0165
225;749.06263
226;754.4852
227;802.24024
228;819.34995
229;772.65054
230;814.37517
231;802.79634
232;734.27113
233;802.01644
234;888.84664
235;779.20144
236;811.7839
237;863.83468
238;813.58191
239;763.20352
240;788.67863
241;842.53861
242;729.14137
243;755.18105
244;747.12042
245;729.3598
246;710.47316
247;756.66001
248;875.15975
249;881.383198
250;810.95136
251;751.53898
252;863.37011
253;836.94082
254;664.55851
255;682.03715
256;736.84428
257;737.35182
258;779.41035
259;757.71468
260;772.65621
261;776.62744
262;741.25211
263;699.45682
264;729.52604
265;670.27717
266;869.29269
267;713.07065
268;740.81854
269;667.17164
270;674.11842
271;634.3526
272;693.05764
273;770.80658
274;784.94588
275;720.01339
276;707.033
277;638.94804
278;606.91665
279;660.98874
280;849.41463
281;620.3618
282;623.65293
283;638.69152
284;653.46687
285;604.21696
286;707.82665
287;737.44185
288;691.02333
289;689.89761
290;770.93753
291;709.76356
292;888.65772
293;765.7364
294;671.09474
295;766.13543
296;797.01369
297;689.16209
298;684.6532
299;764.30984
300;780.25565
301;678.35324
302;645.17456
303;696.67795
304;718.08555
305;700.51412
306;701.78746
307;742.91434
308;724.18915
309;707.17132
310;714.60384
311;770.51136
312;858.3342
313;741.85741
314;747.13199
315;773.35767
316;820.40336
317;757.45022
318;811.65101
319;743.98776
320;705.92263
321;785.42592
322;865.12676
323;781.02882
324;785.13952
325;842.40325
326;881.51103
327;851.77307
328;800.00188
329;1145.14549
330;991.81688
331;742.8147
332;773.70105
333;776.96161
334;802.89
335;820.41169
336;836.63816
337;844.89204
338;786.18148
339;824.32192
340;863.81282
341;830.10928
342;877.68622
343;826.29718
344;851.30172
345;817.68969
346;821.28181
347;854.28296
348;862.784
349;796.01453
350;813.66084
351;967.53556
352;880.56609
353;870.16361
354;965.9848
355;914.8482
356;896.26843
357;1000.50447
358;955.55923
359;972.83009
360;960.42564
361;962.93895
362;954.85751
363;938.72083
364;946.52543
365;965.8993
366;1015.19457
367;1061.02391
368;1000.07016
369;887.6073
370;892.2849
371;894.3234
372;901.93511
373;1002.77946
374;1013.01808
375;926.03558
376;929.2797
377;995.12904
378;1013.88237
379;1067.64242
380;974.86847
381;943.63054
382;1066.70911
383;969.48328
384;1004.92083
385;1012.23544
386;936.75246
387;989.55085
388;947.39259
389;897.43159
390;877.17211
391;925.30857
392;943.4194
393;932.4278
394;914.75251
395;941.49912
396;911.58667
397;896.27251
398;867.2354
399;882.52513
400;860.65074
401;860.84286
402;925.94401
403;1023.93475
404;883.4238
405;907.01716
406;952.99089
407;864.69725
408;835.57122
409;871.95147
410;896.09345
411;810.9178
412;845.89225
413;795.2863
414;816.65358
415;829.72641
416;890.93566
417;842.35019
418;749.13799
419;777.75751
420;775.26734
421;843.32877
422;934.11784
423;845.85462
424;1220.35229
425;976.35301
426;792.85051
427;912.54012
428;888.93496
429;802.18249
430;845.63607
431;1017.7339
432;880.89567
433;781.34494
434;753.50478
435;754.33235
436;762.77972
437;808.3914
438;804.61065
439;783.87722
440;777.09189
441;752.66968
442;836.21937
443;822.61066
444;772.28357
445;768.44465
446;901.12986
447;961.49486
448;752.99146
449;743.78403
450;755.81587
451;768.58284
452;855.22183
453;865.0989
454;845.0379
455;737.58232
456;776.4139
457;807.25212
458;745.320029
459;748.46982
460;699.18429
461;710.33005
462;782.2022
463;758.71811
464;695.02824
465;684.936964
466;670.38936
467;643.0713
468;681.80103
469;734.65138
470;939.21616
471;649.00224
472;655.97742
473;615.38492
474;671.1046
475;785.8708
476;872.89019
477;726.67367
478;627.73533
479;622.31904
480;645.89892
481;787.51004
482;739.49703
